Strain	Stress
0.020812446	7276.720804
0.020848129	7226.604796
0.020885397	7302.706884
0.020929009	7335.49884
0.020945661	7236.504252
0.020958348	7341.686
0.020975	7321.887084
0.021013854	7398.607888
0.021067775	7349.110596
0.021082841	7282.289248
0.021096321	7318.174788
0.021113766	7393.039444
0.021145483	7423.975252
0.021165307	7337.354988
0.02117958	7394.276876
0.021197025	7345.3983
0.021215263	7436.349576
0.021269183	7434.493428
0.02130328	7378.808972
0.021336583	7482.134572
0.02137068	7413.457076
0.021415085	7578.035576
0.02145949	7419.025524
0.021490415	7429.543696
0.02150786	7498.839908
0.021539578	7513.689096
0.021564159	7546.481052
0.021580811	7467.285384
0.021597463	7429.543696
0.021622837	7476.566124
0.021639489	7519.876256
0.021668828	7545.862336
0.02167755	7458.623356
0.021694995	7563.186388
0.021724334	7566.279968
0.02176636	7573.704564
0.021804422	7549.574632
0.021832968	7504.408352
0.021855963	7593.50348
0.021867064	7660.943544
0.021918606	7657.84996
0.021935258	7578.654292
0.021942394	7668.368136
0.021959046	7613.921112
0.021998693	7688.785768
0.022023275	7680.123744
0.022033583	7617.014696
0.022058957	7704.872388
0.022093054	7694.354216
0.02213508	7739.520496
0.022160454	7672.080432
0.022177106	7639.288476
0.022200894	7733.333332
0.022243714	7745.08894
0.022276225	7825.52204
0.022309528	7703.634956
0.022309528	7735.808196
0.022338074	7779.118328
0.022368206	7779.737044
0.022395166	7798.298532
0.022411025	7704.872388
0.022423713	7790.25522
0.022472082	7817.478732
0.022502214	7786.542924
0.022528381	7789.017788
0.022537896	7765.506572
0.022567236	7816.860016
0.022604504	7904.098996
0.022634636	7897.293116
0.022663975	7841.608664
0.022683006	7901.005412
0.022707587	7893.58082
0.022736926	7935.034804
0.022750406	7934.416088
0.022772609	7833.565352
0.022778952	7922.66048
0.022823357	7932.55994
0.022851111	7918.948184
0.022883621	7913.998452
0.022887586	7850.889404
0.022901066	7987.00696
0.022935956	8010.518176
0.022969259	8050.116008
0.022999391	7957.9273
0.023006528	8032.791956
0.023039832	8062.490332
0.023068377	8051.35344
0.023085822	8073.627224
0.023096131	7982.057232
0.023110404	8060.634184
0.02313895	8103.944316
0.023169082	8038.360404
0.023190491	8000
0.023195249	8050.734724
0.023223002	8119.41222
0.02326027	8154.060324
0.023280887	8183.7587
0.023312605	8064.965196
0.023332429	8196.75174
0.023356217	8214.694508
0.023372869	8208.507348
0.023388728	8166.434648
0.023406965	8258.623356
0.023455335	8227.687548
0.023473573	8215.93194
0.023496568	8232.01856
0.023511634	8152.204176
0.023522736	8306.883216
0.023562383	8305.645784
0.02360996	8382.366588
0.023639298	8228.92498
0.02365595	8326.06342
0.02370432	8391.028616
0.023747932	8309.9768
0.023763791	8406.49652
0.023789958	8257.385924
0.023804231	8361.33024
0.023877975	8404.021656
0.023898592	8305.027068
0.023916037	8332.869296
0.023915244	8279.040988
0.023929517	8443.000772
0.02395727	8419.48956
0.023980265	8324.207268
0.024013569	8357.617944
0.024033393	8432.4826
0.024088106	8457.231244
0.024145991	8420.108276
0.024172951	8464.037124
0.024189603	8377.41686
0.024239559	8575.406032
0.024334712	8516.00928
0.024392597	8507.965972
0.024440174	8459.706108
0.02439339	8428.151584
0.024479822	8615.622584
0.024521055	8526.527456
0.024536121	8505.491104
0.02457101	8462.799692
0.024638411	8415.777264
0.024705018	8567.98144
0.024739115	8480.123744
0.024747837	8520.959012
0.024757352	8439.907192
0.024777176	8485.073472
0.024805722	8609.43542
0.024832682	8538.283064
0.024839026	8520.340292
0.024840612	8459.706108
0.024854885	8476.411448
0.024870744	8580.35576
0.024895325	8508.584688
0.024908805	8600.15468
0.024908805	8504.872388
0.024937351	8637.896364
0.024962726	8627.378192
0.024965105	8577.880896
0.024972241	8591.492652
0.02497462	8566.125292
0.024999201	8739.365816
0.025034883	8702.861564
0.025047571	8737.509668
0.025067394	8627.378192
0.025098319	8857.540604
0.025150654	8776.488784
0.025172063	8704.717712
0.025182371	8781.438516
0.025187922	8677.4942
0.02522519	8939.829852
0.025256116	8793.194124
0.025275146	8751.121424
0.025288626	8733.178656
0.02528704	8671.925756
0.025311622	8908.275328
0.025336203	8767.82676
0.025347304	8780.201084
0.025350476	8753.596288
0.025368714	8973.859244
0.025415497	8902.088168
0.0254377	8885.382832
0.025465453	8886.001548
0.025477347	8866.202628
0.025509858	9063.573084
0.025558228	8942.923432
0.025578845	9038.205724
0.025608976	8876.102088
0.025631179	9140.293892
0.02569065	9026.450116
0.025731883	8962.103636
0.025778667	9040.061872
0.025793733	8936.736272
0.02584686	9222.58314
0.025888886	9016.550656
0.025910296	9090.17788
0.025926155	9009.126064
0.025933291	9023.356536
0.026016551	9210.827532
0.026041925	9023.975252
0.026060956	9023.356536
0.026068885	8996.75174
0.026082365	9154.52436
0.026124391	9121.732404
0.026137078	9052.436196
0.026145801	9127.300852
0.026152937	9054.91106
0.02617514	9281.979892
0.026221924	9174.32328
0.026237782	9239.288476
0.026258399	9118.020108
0.026274258	9232.4826
0.026329764	9299.303944
0.026356725	9186.078888
0.02638527	9257.84996
0.026422539	9259.706108
0.026486768	9367.98144
0.026518485	9241.144624
0.026502627	9252.900232
0.026520071	9208.352668
0.026550204	9419.33488
0.026634256	9291.879352
0.026650115	9273.93658
0.026653286	9269.605568
0.026675489	9239.288476
0.026697691	9468.213456
0.026743682	9277.64888
0.026762713	9361.17556
0.026788087	9296.82908
0.026820598	9368.600156
0.026884034	9484.918792
0.026925267	9333.333332
0.026926853	9445.939676
0.026959363	9333.333332
0.026989495	9556.071152
0.027025971	9414.385152
0.027046587	9378.499612
0.027058482	9462.645012
0.027060067	9399.535964
0.027081477	9599.381284
0.027139362	9452.126836
0.027153635	9433.565352
0.027161565	9395.204948
0.027182974	9518.329468
0.027206763	9596.90642
0.027228172	9491.724672
0.027237687	9608.043312
0.027280507	9491.724672
0.0273487	9728.074244
0.027400241	9540.603248
0.027400241	9568.445476
0.027408964	9567.208044
0.027420065	9638.360404
0.027447025	9783.139984
0.02745892	9574.632636
0.027466056	9580.201084
0.027462884	9584.532096
0.027484293	9668.677496
0.027522355	9719.41222
0.027534249	9617.324052
0.027543765	9649.497292
0.027564381	9632.17324
0.027590548	9867.285384
0.027614337	9708.275328
0.027613544	9766.434648
0.027627817	9721.887084
0.027646055	9847.486464
0.027696803	9859.242072
0.027722177	9763.341068
0.027718213	9856.767208
0.027764996	9784.377416
0.027810194	10047.9505
0.027834776	9799.226604
0.027864115	9900.07734
0.027950546	9849.961332
0.027969576	9927.300852
