Strain (in/in)	Stress (psi)
0.018278454	2775.34981
0.018309856	2811.609374
0.0183601	2855.547435
0.018382866	2824.83345
0.018398568	2794.546051
0.018442531	2797.532132
0.018495914	2810.329625
0.018533597	2853.41452
0.018555579	2819.287871
0.01856657	2791.133384
0.01863958	2841.896776
0.018697674	2835.071445
0.018722796	2862.372766
0.018736926	2836.351197
0.018741637	2802.224545
0.018758908	2807.343544
0.01878246	2843.176525
0.018809937	2843.176525
0.018818573	2823.127118
0.018821712	2804.784046
0.018835059	2847.442358
0.018862535	2851.708188
0.018890798	2901.191831
0.018886087	2860.239851
0.018908854	2819.287871
0.018919845	2888.394338
0.018961453	2889.674087
0.018976369	2911.429826
0.019008556	2888.394338
0.019048594	2888.394338
0.019079996	2922.520987
0.019123174	2964.752716
0.019149866	2907.163993
0.019160857	2912.282992
0.019198539	2943.850143
0.019215811	2948.542557
0.019248783	2970.724879
0.019256634	2934.465314
0.0192794	2903.751329
0.019302952	2935.745063
0.019336709	2948.96914
0.019356336	2987.788205
0.019360261	2908.870328
0.019383813	2900.765248
0.019412075	2956.647637
0.019434056	2966.459049
0.019451327	2973.284379
0.019458393	2933.185565
0.01949372	2954.514721
0.019521983	2972.431213
0.01956045	2982.242625
0.019572226	2999.732532
0.019583217	2947.262808
0.019648377	3025.327521
0.019677424	3009.117361
0.019719817	3019.781939
0.019727667	3002.29203
0.019754359	2957.927386
0.019781051	3039.831346
0.019815594	3025.754104
0.019839145	3020.208522
0.019846996	3007.411029
0.019866622	2987.788205
0.01990823	3037.271848
0.019925501	3023.621189
0.019949838	3047.509843
0.019952193	3014.662943
0.01997653	2983.095792
0.019993801	3031.299683
0.020015783	3067.132667
0.020024418	3044.950345
0.020031484	3030.019934
0.020057391	3053.908588
0.020083298	3064.999752
0.020108419	3088.461823
0.02012098	3049.216175
0.020135897	3047.936426
0.020186925	3129.413803
0.020233243	3079.503577
0.020237954	3083.342824
0.020292907	3087.608657
0.02032431	3140.504964
0.020362778	3141.35813
0.020416161	3161.83412
0.020424012	3109.790979
0.020460909	3099.979567
0.020496237	3143.064462
0.020503302	3113.630226
0.020523714	3146.903709
0.02053706	3105.098563
0.020556687	3135.812548
0.020559041	3142.637879
0.020579453	3136.239131
0.020594369	3143.064462
0.02060536	3099.979567
0.020646968	3200.653185
0.02067209	3148.183461
0.02068622	3203.212683
0.020691716	3164.393618
0.020718408	3139.651798
0.020763156	3250.136826
0.020771792	3192.974688
0.020803194	3221.982341
0.020829101	3176.764528
0.020872279	3201.932934
0.02088798	3249.28366
0.020918597	3227.101338
0.020919382	3232.220336
0.020948429	3216.010177
0.020986897	3274.878649
0.021015944	3248.003911
0.02102615	3297.060971
0.021031645	3222.408924
0.021081889	3246.724162
0.02110544	3297.060971
0.021139198	3303.886299
0.02116118	3268.053318
0.021198077	3236.486167
0.021216918	3335.880036
0.021242825	3282.13056
